SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
hoop:VERB,pp,en:CCONJ,amod,2,2,0
hoop:VERB,pp,ons:PRON,nsubj,1,2,1
keer:NOUN,pp,hierdie:DET,det,1,4,3
hoop:VERB,pp,keer:NOUN,obj,-2,2,4
hoop:VERB,pp,dat:SCONJ,amod,-3,2,5
poging:NOUN,pp,hernu:ADJ,amod,1,7,6
afwerp:VERB,pp,poging:NOUN,nsubj,16,23,7
gemeenskap:NOUN,pp,deur:ADP,case,3,11,8
gemeenskap:NOUN,pp,die:DET,det,2,11,9
gemeenskap:NOUN,pp,internasionaal:ADJ,amod,1,11,10
poging:NOUN,pp,gemeenskap:NOUN,nmod,-4,7,11
vind:VERB,pp,om:ADP,case,7,19,12
oplossing:NOUN,pp,bly:ADJ,amod,1,14,13
vind:VERB,pp,oplossing:NOUN,obj,5,19,14
konflik:NOUN,pp,vir:ADP,case,2,17,15
konflik:NOUN,pp,hierdie:DET,det,1,17,16
oplossing:NOUN,pp,konflik:NOUN,nmod,-3,14,17
vind:VERB,pp,te:PART,mark,1,19,18
gemeenskap:NOUN,pp,vind:VERB,xcomp,-8,11,19
afwerp:VERB,pp,vrug:NOUN,obj,2,23,21
afwerp:VERB,pp,sal:AUX,aux,1,23,22
dat:SCONJ,pp,afwerp:VERB,dep,-18,5,23
afwerp:VERB,pp,sodat:SCONJ,amod,-1,23,24
Israeliet:NOUN,pp,die:DET,det,1,26,25
geniet:VERB,pp,Israeliet:NOUN,nsubj,10,36,26
Israeliet:NOUN,pp,en:CCONJ,cc,-1,26,27
Palestyn:NOUN,pp,die:DET,det,1,29,28
Israeliet:NOUN,pp,Palestyn:NOUN,conj,-3,26,29
geniet:VERB,pp,as:SCONJ,amod,6,36,30
as:SCONJ,pp,buur:NOUN,dep,-1,30,31
geniet:VERB,pp,vrede:NOUN,obj,4,36,32
vrede:NOUN,pp,en:CCONJ,cc,-1,32,33
vrede:NOUN,pp,sekuriteit:NOUN,conj,-2,32,34
geniet:VERB,pp,kan:AUX,aux,1,36,35
sodat:SCONJ,pp,geniet:VERB,dep,-12,24,36
gebied:NOUN,pp,binne:ADP,case,3,40,37
gebied:NOUN,pp,hul:PRON,det,2,40,38
gebied:NOUN,pp,soewerein:ADJ,amod,1,40,39
geniet:VERB,pp,gebied:NOUN,obl,-4,36,40
gelukwensing:NOUN,pp,ons:PRON,det,2,44,42
gelukwensing:NOUN,pp,spesiaal:ADJ,amod,1,44,43
gaan:VERB,pp,gelukwensing:NOUN,nsubj,1,45,44
regering:NOUN,pp,aan:ADP,case,2,48,46
regering:NOUN,pp,die:DET,det,1,48,47
gaan:VERB,pp,regering:NOUN,obl,-3,45,48
regering:NOUN,pp,en:CCONJ,cc,-1,48,49
regering:NOUN,pp,mens:NOUN,conj,-2,48,50
Kuba:PROPN,pp,van:ADP,case,1,52,51
mens:NOUN,pp,Kuba:PROPN,nmod,-2,50,52
herdenking:NOUN,pp,met:ADP,case,3,56,53
herdenking:NOUN,pp,die:DET,det,2,56,54
herdenking:NOUN,pp,50ste:SYM,amod,1,56,55
Kuba:PROPN,pp,herdenking:NOUN,obl,-4,52,56
soewereiniteit:NOUN,pp,van:ADP,case,2,59,57
soewereiniteit:NOUN,pp,hul:PRON,det,1,59,58
herdenking:NOUN,pp,soewereiniteit:NOUN,nmod,-3,56,59
soewereiniteit:NOUN,pp,en:CCONJ,cc,-1,59,60
vryheid:NOUN,pp,daarmee:PRON,dep,4,66,62
daarmee:PRON,pp,saam:ADV,dep,-1,62,63
vryheid:NOUN,pp,die:DET,det,1,66,65
soewereiniteit:NOUN,pp,vryheid:NOUN,conj,-7,59,66
kies:VERB,pp,om:ADP,case,5,72,67
ontwikkelingspad:NOUN,pp,hul:PRON,det,2,70,68
