SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
növelés:NOUN,pp,termelés:NOUN,nmod:att,1,1,0
szólít:VERB,pp,növelés:NOUN,nmod:obl,1,2,1
szólít:VERB,pp,fel:ADV,compound:preverb,-1,2,3
szólít:VERB,pp,tegnap:ADV,advmod:tlocy,-2,2,4
olaj:NOUN,pp,az:DET,det,1,6,5
exportáló:ADJ,pp,olaj:NOUN,obj,1,7,6
ország:NOUN,pp,exportáló:ADJ,amod:att,1,8,7
szólít:VERB,pp,ország:NOUN,obj,-6,2,8
szólít:VERB,pp,William:PROPN,nsubj,-7,2,9
William:PROPN,pp,Ramsey:PROPN,flat:name,-1,9,10
képvisel:VERB,pp,aki:PRON,nsubj,4,16,12
Egyesült:PROPN,pp,az:DET,det,1,14,13
képvisel:VERB,pp,Egyesült:PROPN,obj,2,16,14
Egyesült:PROPN,pp,Államok:PROPN,flat:name,-1,14,15
William:PROPN,pp,képvisel:VERB,acl,-7,9,16
Nemzetközi:PROPN,pp,a:DET,det,1,18,17
képvisel:VERB,pp,Nemzetközi:PROPN,nmod:obl,-2,16,18
Nemzetközi:PROPN,pp,Energiaügynökség:PROPN,flat:name,-1,18,19
be+jelent:VERB,pp,miután:SCONJ,mark,5,26,21
be+jelent:VERB,pp,Irak:PROPN,nsubj,4,26,22
hét:NOUN,pp,a:DET,det,1,24,23
eleje:NOUN,pp,hét:NOUN,nmod:att,1,25,24
be+jelent:VERB,pp,eleje:NOUN,nmod:obl,1,26,25
szólít:VERB,pp,be+jelent:VERB,ccomp:obj,-24,2,26
újít:VERB,pp,nem:ADV,advmod,1,29,28
be+jelent:VERB,pp,újít:VERB,ccomp:obj,-3,26,29
újít:VERB,pp,meg:PART,compound:preverb,-1,29,30
szerződés:NOUN,pp,olajszállítási:ADJ,amod:att,1,32,31
újít:VERB,pp,szerződés:NOUN,obj,-3,29,32
ország:NOUN,pp,az:DET,det,2,36,34
ország:NOUN,pp,arab:ADJ,amod:att,1,36,35
export:NOUN,pp,ország:NOUN,nmod:att,1,37,36
leállítás:NOUN,pp,export:NOUN,nmod:att,1,38,37
csökken:VERB,pp,leállítás:NOUN,obl,6,44,38
leállítás:NOUN,pp,miatt:ADP,case,-1,38,39
hordó:NOUN,pp,napi:ADJ,amod:att,3,43,40
millió:NUM,pp,"2,3:NUM",compound,1,42,41
hordó:NOUN,pp,millió:NUM,nummod,1,43,42
csökken:VERB,pp,hordó:NOUN,nmod:obl,1,44,43
kínálat:NOUN,pp,a:DET,det,1,46,45
csökken:VERB,pp,kínálat:NOUN,nsubj,-2,44,46
nyersolaj:NOUN,pp,a:DET,det,1,48,47
világpiac:NOUN,pp,nyersolaj:NOUN,nmod:att,1,49,48
csökken:VERB,pp,világpiac:NOUN,nmod:obl,-5,44,49
szakértő:NOUN,pp,egyes:ADJ,amod:att,2,53,51
szakértő:NOUN,pp,hazai:ADJ,amod:att,1,53,52
tart:VERB,pp,szakértő:NOUN,nsubj,2,55,53
tart:VERB,pp,az:PRON,nmod:obl,1,55,54
vezet:VERB,pp,hogy:SCONJ,mark,8,65,57
olajárrobbanás:NOUN,pp,az:DET,det,1,59,58
vezet:VERB,pp,olajárrobbanás:NOUN,nsubj,6,65,59
tervezett:ADJ,pp,a:DET,det,1,61,60
vezet:VERB,pp,tervezett:ADJ,amod:obl,4,65,61
magas:ADJ,pp,lényeges:ADJ,amod:mode,1,63,62
infláció:NOUN,pp,magas:ADJ,amod:att,1,64,63
vezet:VERB,pp,infláció:NOUN,nmod:obl,1,65,64
tart:VERB,pp,vezet:VERB,ccomp:obl,-10,55,65
lesz:VERB,pp,és:CCONJ,cc,7,74,67
