SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
оставити:VERB,pp,тоу:ADV,advmod,-1,0,1
оставити:VERB,pp,даръ:NOUN,obj,-2,0,2
даръ:NOUN,pp,твои:ADJ,nmod,-1,2,3
олътарь:NOUN,pp,прѣдъ:ADP,case,1,5,4
тоу:ADV,pp,олътарь:NOUN,appos,-4,1,5
оставити:VERB,pp,и:CCONJ,cc,-6,0,6
съмирити:VERB,pp,ити:VERB,advcl,2,9,7
съмирити:VERB,pp,прѣжде:ADV,advmod,1,9,8
оставити:VERB,pp,съмирити:VERB,conj,-9,0,9
съмирити:VERB,pp,себе:AUX,aux,-1,9,10
братръ:NOUN,pp,съ:ADP,case,1,12,11
съмирити:VERB,pp,братръ:NOUN,obl,-3,9,12
братръ:NOUN,pp,свои:ADJ,nmod,-1,12,13
оставити:VERB,pp,и:CCONJ,cc,-14,0,14
принести:VERB,pp,тъгда:ADV,advmod,2,17,15
принести:VERB,pp,прити:VERB,advcl,1,17,16
оставити:VERB,pp,принести:VERB,conj,-17,0,17
принести:VERB,pp,даръ:NOUN,obj,-1,17,18
даръ:NOUN,pp,твои:ADJ,nmod,-1,18,19
бꙑти:VERB,pp,оувѣщати:VERB,xcomp,-1,20,21
оувѣщати:VERB,pp,себе:AUX,aux,-1,21,22
сѫпьрь:NOUN,pp,съ:ADP,case,1,24,23
оувѣщати:VERB,pp,сѫпьрь:NOUN,obl,-3,21,24
сѫпьрь:NOUN,pp,свои:ADJ,nmod,-1,24,25
оувѣщати:VERB,pp,скоро:ADV,advmod,-5,21,26
бꙑти:VERB,pp,доньде:SCONJ,mark,1,28,27
бꙑти:VERB,pp,бꙑти:VERB,advcl,-8,20,28
пѫть:NOUN,pp,на:ADP,case,1,30,29
бꙑти:VERB,pp,пѫть:NOUN,xcomp,-2,28,30
и:PRON,pp,съ:ADP,case,1,32,31
бꙑти:VERB,pp,и:PRON,obl,-4,28,32
прѣдати:VERB,pp,да:SCONJ,mark,2,35,33
прѣдати:VERB,pp,не:ADV,advmod,1,35,34
бꙑти:VERB,pp,прѣдати:VERB,advcl,-15,20,35
прѣдати:VERB,pp,тꙑ:PRON,obj,-1,35,36
прѣдати:VERB,pp,сѫдии:NOUN,iobj,-2,35,37
прѣдати:VERB,pp,и:CCONJ,cc,-3,35,38
прѣдати:VERB,pp,сѫдии:NOUN,nsubj,2,41,39
прѣдати:VERB,pp,тꙑ:PRON,obj,1,41,40
прѣдати:VERB,pp,прѣдати:VERB,conj,-6,35,41
прѣдати:VERB,pp,слоуга:NOUN,iobj,-1,41,42
прѣдати:VERB,pp,и:CCONJ,cc,-8,35,43
тьмьница:NOUN,pp,въ:ADP,case,1,45,44
въврѣщи:VERB,pp,тьмьница:NOUN,obl,1,46,45
прѣдати:VERB,pp,въврѣщи:VERB,conj,-11,35,46
въврѣщи:VERB,pp,тꙑ:PRON,obj,-1,46,47
изити:VERB,pp,не:ADV,advmod,1,49,48
изити:VERB,pp,отътѫдѣ:ADV,advmod,-1,49,50
отътѫдѣ:ADV,pp,тѫдѣ:ADV,flat,-1,50,51
въздати:VERB,pp,доньде:SCONJ,mark,1,53,52
изити:VERB,pp,въздати:VERB,advcl,-4,49,53
кодрантъ:NOUN,pp,послѣдьнии:ADJ,amod,1,55,54
въздати:VERB,pp,кодрантъ:NOUN,obj,-2,53,55
бꙑти:VERB,pp,ꙗко:SCONJ,mark,2,59,57
бꙑти:VERB,pp,рещи:VERB,xcomp,1,59,58
слꙑшати:VERB,pp,бꙑти:VERB,ccomp,-3,56,59
рещи:VERB,pp,древльнь:ADJ,iobj,-2,58,60
глаголати:VERB,pp,азъ:PRON,nsubj,2,63,61
глаголати:VERB,pp,же:ADV,discourse,1,63,62
глаголати:VERB,pp,вꙑ:PRON,iobj,-1,63,64
сътворити:VERB,pp,ꙗко:SCONJ,mark,10,75,65
сътворити:VERB,pp,вьсꙗкъ:ADJ,nsubj,9,75,66
възьрѣти:VERB,pp,иже:PRON,nsubj,1,68,67
вьсꙗкъ:ADJ,pp,възьрѣти:VERB,acl,-2,66,68
жена:NOUN,pp,на:ADP,case,1,70,69
възьрѣти:VERB,pp,жена:NOUN,obl,-2,68,70
похоть:NOUN,pp,съ:ADP,case,1,72,71
възьрѣти:VERB,pp,похоть:NOUN,obl,-4,68,72
сътворити:VERB,pp,оуже:ADV,advmod,2,75,73
сътворити:VERB,pp,любꙑ:NOUN,obj,1,75,74
глаголати:VERB,pp,сътворити:VERB,ccomp,-12,63,75
и:PRON,pp,съ:ADP,case,1,77,76
сътворити:VERB,pp,и:PRON,obl,-2,75,77
срьдьце:NOUN,pp,въ:ADP,case,1,79,78
сътворити:VERB,pp,срьдьце:NOUN,obl,-4,75,79
срьдьце:NOUN,pp,свои:ADJ,nmod,-1,79,80
съблажнꙗти:VERB,pp,аще:SCONJ,mark,5,86,81
изѧти:VERB,pp,же:ADV,discourse,6,88,82
съблажнꙗти:VERB,pp,око:NOUN,nsubj,3,86,83
око:NOUN,pp,твои:ADJ,nmod,-1,83,84
око:NOUN,pp,деснъ:ADJ,amod,-2,83,85
изѧти:VERB,pp,съблажнꙗти:VERB,advcl,2,88,86
съблажнꙗти:VERB,pp,тꙑ:PRON,obj,-1,86,87
изѧти:VERB,pp,и:PRON,obj,-1,88,89
изѧти:VERB,pp,и:CCONJ,cc,-2,88,90
изѧти:VERB,pp,врѣщи:VERB,conj,-3,88,91
тꙑ:PRON,pp,отъ:ADP,case,1,93,92
врѣщи:VERB,pp,тꙑ:PRON,obl,-2,91,93
бꙑти:VERB,pp,оунии:ADJ,xcomp,3,97,94
бꙑти:VERB,pp,бо:ADV,discourse,2,97,95
бꙑти:VERB,pp,тꙑ:PRON,obl,1,97,96
погꙑбати:VERB,pp,да:SCONJ,mark,1,99,98
бꙑти:VERB,pp,погꙑбати:VERB,ccomp,-2,97,99
погꙑбати:VERB,pp,ѥдинъ:NUM,nsubj,-1,99,100
ѥдинъ:NUM,pp,оудъ:NOUN,nmod,-1,100,101
оудъ:NOUN,pp,твои:ADJ,nmod,-1,101,102
погꙑбати:VERB,pp,а:CCONJ,cc,-4,99,103
бꙑти:VERB,pp,не:ADV,advmod,5,109,104
тѣло:NOUN,pp,вьсь:DET,det,1,106,105
бꙑти:VERB,pp,тѣло:NOUN,nsubj,3,109,106
тѣло:NOUN,pp,твои:ADJ,nmod,-1,106,107
бꙑти:VERB,pp,въврѣщи:VERB,xcomp,1,109,108
погꙑбати:VERB,pp,бꙑти:VERB,conj,-10,99,109
геона:NOUN,pp,въ:ADP,case,1,111,110
въврѣщи:VERB,pp,геона:NOUN,obl,-3,108,111
съблажнꙗти:VERB,pp,и:CCONJ,cc,5,117,112
съблажнꙗти:VERB,pp,аще:SCONJ,mark,4,117,113
рѫка:NOUN,pp,деснъ:ADJ,amod,2,116,114
рѫка:NOUN,pp,твои:ADJ,nmod,1,116,115
съблажнꙗти:VERB,pp,рѫка:NOUN,nsubj,1,117,116
оусѣщи:VERB,pp,съблажнꙗти:VERB,advcl,2,119,117
съблажнꙗти:VERB,pp,тꙑ:PRON,obj,-1,117,118
оусѣщи:VERB,pp,и:PRON,obj,-1,119,120
оусѣщи:VERB,pp,и:CCONJ,cc,-2,119,121
оусѣщи:VERB,pp,врѣщи:VERB,conj,-3,119,122
себе:PRON,pp,отъ:ADP,case,1,124,123
врѣщи:VERB,pp,себе:PRON,obl,-2,122,124
бꙑти:VERB,pp,оунии:ADJ,xcomp,3,128,125
бꙑти:VERB,pp,бо:ADV,discourse,2,128,126
бꙑти:VERB,pp,тꙑ:PRON,obl,1,128,127
погꙑбати:VERB,pp,да:SCONJ,mark,1,130,129
бꙑти:VERB,pp,погꙑбати:VERB,ccomp,-2,128,130
погꙑбати:VERB,pp,ѥдинъ:NUM,nsubj,-1,130,131
ѥдинъ:NUM,pp,оудъ:NOUN,nmod,-1,131,132
оудъ:NOUN,pp,твои:ADJ,nmod,-1,132,133
погꙑбати:VERB,pp,а:CCONJ,cc,-4,130,134
ити:VERB,pp,не:ADV,advmod,4,139,135
тѣло:NOUN,pp,вьсь:DET,det,1,137,136
ити:VERB,pp,тѣло:NOUN,nsubj,2,139,137
тѣло:NOUN,pp,твои:ADJ,nmod,-1,137,138
погꙑбати:VERB,pp,ити:VERB,conj,-9,130,139
геона:NOUN,pp,въ:ADP,case,1,141,140
ити:VERB,pp,геона:NOUN,obl,-2,139,141
поустити:VERB,pp,иже:PRON,nsubj,2,144,142
иже:PRON,pp,аще:ADV,advmod,-1,142,143
дати:VERB,pp,поустити:VERB,nsubj,4,148,144
поустити:VERB,pp,жена:NOUN,obj,-1,144,145
жена:NOUN,pp,свои:ADJ,nmod,-1,145,146
дати:VERB,pp,да:ADV,advmod,1,148,147
дати:VERB,pp,и:PRON,iobj,-1,148,149
дати:VERB,pp,кънигꙑ:NOUN,obj,-2,148,150
кънигꙑ:NOUN,pp,распоустьнъ:ADJ,amod,-1,150,151
глаголати:VERB,pp,азъ:PRON,nsubj,2,154,152
глаголати:VERB,pp,же:ADV,discourse,1,154,153
глаголати:VERB,pp,вꙑ:PRON,iobj,-1,154,155
творити:VERB,pp,ꙗко:SCONJ,mark,8,164,156
поущати:VERB,pp,вьсꙗкъ:ADJ,advmod,1,158,157
творити:VERB,pp,поущати:VERB,nsubj,6,164,158
поущати:VERB,pp,жена:NOUN,obj,-1,158,159
жена:NOUN,pp,свои:ADJ,nmod,-1,159,160
слово:NOUN,pp,развѣ:ADP,case,1,162,161
поущати:VERB,pp,слово:NOUN,obl,-4,158,162
слово:NOUN,pp,любодѣꙗньнъ:ADJ,amod,-1,162,163
глаголати:VERB,pp,творити:VERB,ccomp,-10,154,164
творити:VERB,pp,и:PRON,obj,-1,164,165
дѣꙗти:VERB,pp,прѣлюбꙑ:NOUN,obj,1,167,166
творити:VERB,pp,дѣꙗти:VERB,xcomp,-3,164,167
творити:VERB,pp,и:CCONJ,cc,-4,164,168
поимати:VERB,pp,иже:PRON,nsubj,2,171,169
поимати:VERB,pp,потьпѣга:NOUN,obj,1,171,170
творити:VERB,pp,поимати:VERB,nsubj,2,173,171
творити:VERB,pp,прѣлюбꙑ:NOUN,obj,1,173,172
творити:VERB,pp,творити:VERB,conj,-9,164,173
слꙑшати:VERB,pp,пакꙑ:ADV,advmod,1,175,174
бꙑти:VERB,pp,ꙗко:SCONJ,mark,2,178,176
бꙑти:VERB,pp,рещи:VERB,xcomp,1,178,177
слꙑшати:VERB,pp,бꙑти:VERB,ccomp,-3,175,178
рещи:VERB,pp,древльнь:ADJ,iobj,-2,177,179
клѧти:VERB,pp,не:ADV,advmod,3,183,180
лъжа:NOUN,pp,въ:ADP,case,1,182,181
клѧти:VERB,pp,лъжа:NOUN,obl,1,183,182
клѧти:VERB,pp,себе:AUX,aux,-1,183,184
въздати:VERB,pp,же:ADV,discourse,-1,185,186
въздати:VERB,pp,господь:NOUN,iobj,-2,185,187
въздати:VERB,pp,клѧтва:NOUN,obj,-3,185,188
клѧтва:NOUN,pp,твои:ADJ,nmod,-1,188,189
глаголати:VERB,pp,азъ:PRON,nsubj,2,192,190
глаголати:VERB,pp,же:ADV,discourse,1,192,191
глаголати:VERB,pp,вꙑ:PRON,iobj,-1,192,193
клѧти:VERB,pp,не:ADV,advmod,1,195,194
глаголати:VERB,pp,клѧти:VERB,xcomp,-3,192,195
клѧти:VERB,pp,себе:AUX,aux,-1,195,196
клѧти:VERB,pp,отънѫдь:ADV,advmod,-2,195,197
небо:NOUN,pp,ни:CCONJ,cc,1,199,198
клѧти:VERB,pp,небо:NOUN,appos,-4,195,199
бꙑти:VERB,pp,ꙗко:SCONJ,mark,2,202,200
бꙑти:VERB,pp,прѣстолъ:NOUN,xcomp,1,202,201
небо:NOUN,pp,бꙑти:VERB,orphan,-3,199,202
прѣстолъ:NOUN,pp,божии:ADJ,amod,-2,201,203
небо:NOUN,pp,ни:CCONJ,orphan,-5,199,204
небо:NOUN,pp,землꙗ:NOUN,orphan,-6,199,205
бꙑти:VERB,pp,ꙗко:SCONJ,mark,2,208,206
бꙑти:VERB,pp,подъножиѥ:NOUN,xcomp,1,208,207
