Node,NetworkParameter1,ClusterScore1,NetworkParameter2,ClusterScore2
SV,NeighborhoodConnectivity,0.18506438089180854,Eccentricity,1.0154860809982706
VS,AverageShortestPathLength,0.3976933000172538,AverageShortestPathLength,-0.20953013718807087
OV,ClusteringCoefficient,0.35542732390901405,ClusteringCoefficient,-0.16883983054956844
VO,Eccentricity,0.025570098544870346,Eccentricity,1.192524080915169
VI,Eccentricity,0.05236835474930713,Eccentricity,0.8904387437412606
IV,NeighborhoodConnectivity,0.2819555587578737,NeighborhoodConnectivity,-0.1901287577094356
SOV,Outperc,0.47805806491904046,Outperc,-0.012207807670616154
SVO,AverageShortestPathLength,0.19389737079352673,Eccentricity,1.1666666711389633
VOS,Outperc,0.42694637579180933,Outperc,-0.231545540062558
VSO,Outperc,0.34076636237702695,NeighborhoodConnectivity,-0.3026876692237982
OSV,Outperc,0.28356491080881335,ClusteringCoefficient,-0.26265732392890034
OVS,NeighborhoodConnectivity,0.4949330461455373,Eccentricity,-0.12201642246357965
ISV,ClusteringCoefficient,0.4198276081056204,Eccentricity,-0.20838803083875315
IVS,ClusteringCoefficient,0.5073505359545194,Eccentricity,-0.06647846004290256
VSI,Eccentricity,0.27582649952892163,EdgeCount,-0.20699764462679218
VIS,NeighborhoodConnectivity,0.47057912357777015,ClusteringCoefficient,0.3207520020019632
SIV,ClusteringCoefficient,0.46275843032985275,ClusteringCoefficient,-0.14478737318921106
SVI,AverageShortestPathLength,0.2850742613640069,Eccentricity,1.0844860620648213
OVI,ClusteringCoefficient,0.6546119271246346,Eccentricity,-0.1418656696404428
OIV,EdgeCount,0.3041910612680655,AverageShortestPathLength,-0.23840279499102082
IVO,NeighborhoodConnectivity,0.3926829588132813,AverageShortestPathLength,-0.07012000357626834
IOV,NeighborhoodConnectivity,0.25263557649317014,AverageShortestPathLength,-0.10610708510292437
VIO,Eccentricity,0.17215467527967526,ClusteringCoefficient,-0.30394777489484237
VOI,Eccentricity,0.2478843724518465,ClusteringCoefficient,-0.18024458159486942
SVOI,Eccentricity,0.22497978436657678,Eccentricity,1.0371705508909437
SVIO,AverageShortestPathLength,0.37099087021372945,EdgeCount,-0.026538191662007334
SIVO,ClusteringCoefficient,0.5384274295997439,ClusteringCoefficient,-0.10026582022075341
SIOV,NeighborhoodConnectivity,0.46529653901121265,NeighborhoodConnectivity,-0.017844187383659192
SOIV,ClusteringCoefficient,0.1861201468839742,NeighborhoodConnectivity,-0.24379410207191052
SOVI,AverageShortestPathLength,0.3467607032901586,EdgeCount,-0.19320111807970458
OVSI,NeighborhoodConnectivity,0.5841311959980385,NeighborhoodConnectivity,-0.25528084550336133
OVIS,Eccentricity,0.1634920634920635,Eccentricity,0.022143652562233475
OIVS,ClusteringCoefficient,0.6585858577777777,Eccentricity,-0.015776214792368088
OISV,EdgeCount,0.16661559518702376,AverageShortestPathLength,-0.24967778895941112
OSIV,Eccentricity,0.2226438492063492,ClusteringCoefficient,-0.18564424923893233
OSVI,ClusteringCoefficient,0.29687882826536693,Eccentricity,-0.15973961552751423
IVSO,ClusteringCoefficient,0.2552832330250409,Eccentricity,-0.0758877604563205
IVOS,NeighborhoodConnectivity,0.14806245670607365,NeighborhoodConnectivity,0.019316920088614346
ISVO,ClusteringCoefficient,0.5022474216736482,Eccentricity,-0.04275758751479609
ISOV,Eccentricity,0.3327435722172564,AverageShortestPathLength,-0.1945671364030481
IOSV,Eccentricity,0.06314481115412669,ClusteringCoefficient,-0.19843109640462617
IOVS,NeighborhoodConnectivity,0.13243026292432816,Eccentricity,0.03948139227470389
VSOI,ClusteringCoefficient,0.2829915269868985,EdgeCount,-0.3632626484812729
VSIO,Eccentricity,0.33139186709166424,EdgeCount,-0.40345147014933963
VISO,Eccentricity,0.36569512862616316,EdgeCount,-0.45231364324594026
VIOS,Eccentricity,0.06666666666666665,Eccentricity,-0.09139274648424482
VOSI,EdgeCount,0.17900403168260312,EdgeCount,-0.35252265745991584
VOIS,NeighborhoodConnectivity,0.6044816798762965,NeighborhoodConnectivity,0.6304343930582927
