Node,NetworkParameter1,ClusterScore1,NetworkParameter2,ClusterScore2
SV,EdgeCount,-0.1310485703261329,ClusteringCoefficient,-0.612708528031509
VS,ClosenessCentrality,-0.1471584130190228,AverageShortestPathLength,-0.6746192517755878
OV,EdgeCount,-0.08992966370853228,ClusteringCoefficient,-0.5584525238790886
VO,EdgeCount,-0.13050653795955156,NeighborhoodConnectivity,-0.4614264634381404
VI,NeighborhoodConnectivity,-0.11663376560410983,ClusteringCoefficient,-0.5654021233980454
IV,NeighborhoodConnectivity,-0.018877058459839197,NeighborhoodConnectivity,-0.029916262601364988
SOV,Outperc,-0.15168052594872128,Outperc,-0.7435995668128782
SVO,EdgeCount,-0.11015730936560995,ClusteringCoefficient,-0.6275664494840847
VOS,Outperc,-0.07641824302663054,NeighborhoodConnectivity,-0.9110125741363352
VSO,Outperc,0.0036877923059424767,Outperc,-0.7107807544690022
OSV,EdgeCount,-0.1300987770310596,EdgeCount,-0.6723297087223565
OVS,Outperc,-0.11215849567211168,NeighborhoodConnectivity,-0.6345658205286534
ISV,NeighborhoodConnectivity,-0.06206920425024676,ClusteringCoefficient,-0.4998256329654761
IVS,AverageShortestPathLength,-0.02198622737457124,ClusteringCoefficient,-0.43345270221773163
VSI,NeighborhoodConnectivity,0.04671757110754379,NeighborhoodConnectivity,-0.6342478718733969
VIS,NeighborhoodConnectivity,-0.16330744460700783,Eccentricity,-0.9344385527630762
SIV,NeighborhoodConnectivity,-0.08296950294585452,EdgeCount,-0.6122668018431512
SVI,NeighborhoodConnectivity,-0.0683876169283892,Eccentricity,-0.7400986752789076
OVI,ClusteringCoefficient,0.024410679577270555,ClusteringCoefficient,-0.6402923961215327
OIV,AverageShortestPathLength,-0.22918320364759848,ClusteringCoefficient,-0.4882797248479043
IVO,ClusteringCoefficient,-0.014869254728033595,NeighborhoodConnectivity,-0.5899130905010096
IOV,ClosenessCentrality,-0.18221583589042778,ClusteringCoefficient,-0.4011946644493826
VIO,EdgeCount,-0.1375133913557472,EdgeCount,-0.8331322385149669
VOI,NeighborhoodConnectivity,-0.11787380591022872,ClusteringCoefficient,-0.6132896896406764
SVOI,NeighborhoodConnectivity,0.007287187644525669,EdgeCount,-0.6979047667326405
SVIO,EdgeCount,-0.1268256715202257,AverageShortestPathLength,-0.7708992903407297
SIVO,AverageShortestPathLength,-0.10619738435914011,EdgeCount,-0.4866558742921682
SIOV,AverageShortestPathLength,-0.14060858200205537,EdgeCount,-0.583446959557906
SOIV,AverageShortestPathLength,-0.1612295336363304,ClusteringCoefficient,-0.5500262062927112
SOVI,NeighborhoodConnectivity,-0.05630900953126969,EdgeCount,-0.8168227795404137
OVSI,ClosenessCentrality,-0.09979598634730752,NeighborhoodConnectivity,-0.7293692946593794
OVIS,ClosenessCentrality,-0.22124492725505224,ClusteringCoefficient,-0.45710678118654746
OIVS,EdgeCount,-0.18676642558221504,EdgeCount,-0.5676054941885499
OISV,ClosenessCentrality,-0.19826498786434116,NeighborhoodConnectivity,-0.8198132876336652
OSIV,NeighborhoodConnectivity,-0.08165435366719796,ClusteringCoefficient,-0.37128849847786466
OSVI,NeighborhoodConnectivity,-0.12475384927049131,EdgeCount,-0.8393090959391447
IVSO,NeighborhoodConnectivity,-0.11747507470362259,Eccentricity,-0.58864039576409
IVOS,ClosenessCentrality,-0.22429643962819193,AverageShortestPathLength,-0.6519589188220382
ISVO,EdgeCount,-0.13756523975501678,ClusteringCoefficient,-0.4788906501776759
ISOV,ClusteringCoefficient,-0.19629149364844045,ClusteringCoefficient,-0.4890093280598198
IOSV,AverageShortestPathLength,-0.10959482916794533,NeighborhoodConnectivity,-0.5885401286160952
IOVS,EdgeCount,-0.2156302925670164,EdgeCount,-0.6188084973973192
VSOI,EdgeCount,-0.12127266607028592,Eccentricity,-0.9125393057068962
VSIO,EdgeCount,-0.10246792281567493,EdgeCount,-0.8802318510234818
VISO,NeighborhoodConnectivity,0.011587854344670289,Eccentricity,-1.0202196095569624
VIOS,ClosenessCentrality,-0.2378406149823339,ClusteringCoefficient,-0.4044715015199618
VOSI,NeighborhoodConnectivity,-0.09897699771369123,AverageShortestPathLength,-0.8323840685279454
VOIS,ClosenessCentrality,-0.08627316338625915,EdgeCount,-0.3792715850306386
