"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"72","2.58505703","0.00360183","0.38683866","0.05552952","8","1006","183","false","εὑρίσκω:VERB","225.58762886597938","823","138","false","1","εὑρίσκω:VERB","30056755"
"73","2.82268188","0.13884978","0.35427301","0.00258981","8","40372","39798","false","ὁ:DET","42.544355525285205","574","3151","false","14","ὁ:DET","862930402"
"75","2.92321126","2.125E-4","0.34208954","0.18006346","8","99","19","false","ἀδύνατος:ADJ","507.258064516129","80","14","false","0","ἀδύνατος:ADJ","1230216"
"76","3.54270589","5.4501E-4","0.28227012","0.02554363","9","2157","2142","false","γάρ:ADV","129.80308030803081","15","336","false","0","γάρ:ADV","4392439"
"78","2.67407084","0.02440697","0.37396167","0.01599427","8","8248","6451","false","αὐτός:PRON","107.32170978627671","1797","820","false","10","αὐτός:PRON","165728515"
"79","3.75293347","1.002E-4","0.26645823","0.12564282","9","171","164","false","πρό:ADP","402.78494623655916","7","34","false","0","πρό:ADP","705899"
"82","2.75817279","0.05651167","0.36255887","0.00585823","8","14889","14719","false","καί:CCONJ","64.50877652606759","170","1844","false","17","καί:CCONJ","326814855"
"84","3.41172297","1.311E-4","0.29310703","0.10962302","9","105","68","false","παλαιός:ADJ","442.0","37","11","false","0","παλαιός:ADJ","1104788"
"86","3.47093817","3.6003E-4","0.28810654","0.05875576","9","453","421","false","ἔτι:ADV","229.04285714285714","32","64","false","1","ἔτι:ADV","2864702"
"89","0.0","0.0","0.0","0.125","0","16","16","false","σαφής:ADV","347.125","0","0","false","0","σαφής:ADV","0"
"91","3.4052284","5.6261E-4","0.29366606","0.0294891","9","2076","2067","false","μέν:ADV","149.48675496688742","9","326","false","0","μέν:ADV","4590980"
"94","2.92523058","7.0709E-4","0.34185339","0.08574809","8","415","151","false","πλῆθος:NOUN","305.328431372549","264","64","false","0","πλῆθος:NOUN","5014537"
"95","3.13982426","0.00263646","0.31848916","0.0262219","9","1224","1180","false","διά:ADP","147.27217741935485","44","159","false","0","διά:ADP","17187055"
"97","2.87605741","0.00198391","0.3476982","0.05332913","8","903","338","false","χρόνος:NOUN","236.7006172839506","565","104","false","0","χρόνος:NOUN","15461399"
"100","3.02734268","0.00898258","0.3303227","0.01123362","8","1922","1846","false","εἰμί:VERB","92.07843137254902","76","319","false","2","εἰμί:VERB","53654989"
"102","3.3444305","3.994E-5","0.29900457","0.33982684","9","25","10","false","τεκμήριον:NOUN","730.1818181818181","15","3","false","0","τεκμήριον:NOUN","196287"
