"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"917430","2.14011997","0.07298929","0.46726352","0.00807928","6","5729","882","false","izan:VERB","42.21630094043887","4847","603","false","66","izan:VERB","74464907"
"917431","0.0","0.0","0.0","0.26785714","0","9","9","false","Atenas:PROPN","459.25","0","1","false","0","Atenas:PROPN","0"
"917433","0.0","0.0","0.0","0.28232323","0","87","87","false","ordea:CCONJ","366.8666666666667","0","13","false","0","ordea:CCONJ","0"
"917435","3.22714657","2.6639E-4","0.30987127","0.10144928","8","69","23","false","jarduera:NOUN","250.3913043478261","46","16","false","0","jarduera:NOUN","324249"
"917436","3.31462083","0.00356576","0.30169363","0.04349657","8","445","393","false","beste:DET","110.78313253012048","52","74","false","13","beste:DET","6447141"
"917438","3.98415257","1.8046E-4","0.2509944","0.05021142","9","63","59","false","bost:NUM","117.31818181818181","4","13","false","0","bost:NUM","285882"
"917441","3.25015668","5.5537E-4","0.30767747","0.08470266","8","104","86","false","gehiago:DET","181.625","18","15","false","0","gehiago:DET","732288"
"917443","3.24881368","3.0089E-4","0.30780466","0.13943951","8","202","197","false","*edin:AUX","232.2207792207792","5","27","false","0","*edin:AUX","326754"
"917445","3.22741517","2.2573E-4","0.30984548","0.13","8","29","10","false","adin:NOUN","268.24","19","4","false","0","adin:NOUN","308932"
"917446","0.0","0.0","0.0","0.0","0","2","2","false","O.G.M.:PROPN","25.0","0","1","false","0","O.G.M.:PROPN","0"
"917448","2.98764437","0.00138876","0.33471186","0.0616347","8","161","29","false","irten:VERB","150.14545454545456","132","18","false","0","irten:VERB","1501598"
"917450","0.0","0.0","0.0","0.0","0","2","2","false","txiki:NOUN","25.0","0","1","false","0","txiki:NOUN","0"
"917452","3.56244964","4.8E-7","0.28070572","0.16071429","8","14","11","false","aske:ADV","187.125","3","3","false","0","aske:ADV","1050"
"917454","2.31309876","0.13355912","0.4323205","0.00682134","7","7869","5488","false","izan:AUX","38.915704387990765","2381","724","false","462","izan:AUX","126022038"
