"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1448782","5.1105268","5.0E-7","0.19567454","0.1","10","5","1","false","留学:VERB","705.4","4","0","false","0","留学:VERB","2426"
"1448783","4.82815072","2.134E-5","0.20711864","0.08333333","9","4","2","false","2012年:NOUN","235.5","2","0","false","0","2012年:NOUN","81270"
"1448785","0.0","0.0","0.0","0.0","0","1","1","false","12月:NOUN","4.0","0","0","false","0","12月:NOUN","0"
"1448787","4.15204866","0.00486119","0.24084496","0.01082859","9","534","436","false","我:PRON","53.81386861313869","98","66","false","0","我:PRON","20610536"
"1448789","4.82815072","8.479E-5","0.20711864","0.06666667","9","11","7","false","韩国:PROPN","405.1","4","1","false","0","韩国:PROPN","322250"
"1448790","3.82847082","0.02312528","0.26120089","0.004389","8","1219","1135","false","在:ADP","39.70839260312945","84","146","false","0","在:ADP","94416033"
"1448793","4.04673496","9.9082E-4","0.2471128","0.02067669","9","81","38","false","时候:NOUN","48.54385964912281","43","12","false","0","时候:NOUN","4970051"
"1448795","1.0","1.685E-5","1.0","0.00143451","1","5911","5910","false","的:PART","22.48617221873036","1","833","false","0","的:PART","22534"
"1448797","3.55711542","6.3552E-4","0.28112667","0.07","8","36","11","false","接:VERB","307.04","25","6","false","0","接:VERB","3280661"
"1448799","2.63974758","0.09044652","0.3788241","0.0045883","7","2264","395","false","有:VERB","40.32646834477498","1869","285","false","38","有:VERB","354385065"
"1448801","4.02999817","0.00132892","0.24813907","0.01727035","9","166","64","false","天:NOUN","105.09615384615384","102","18","false","0","天:NOUN","5516278"
"1448802","3.16846534","0.04907866","0.31561021","0.00859355","8","1492","1167","false","一:NUM","60.09929078014184","325","141","false","0","一:NUM","188227077"
"1448805","3.4016371","0.00847735","0.2939761","0.01008196","8","533","248","false","到:VERB","61.29577464788732","285","55","false","0","到:VERB","34582637"
"1448807","4.16832815","2.1E-7","0.23990434","0.0","9","2","1","false","通知:NOUN","224.0","1","0","false","0","通知:NOUN","904"
"1448809","4.16796232","0.00367518","0.23992539","0.02536232","9","88","85","false","个:NOUN","113.75","3","8","false","0","个:NOUN","13005602"
"1448812","2.77757454","0.03626131","0.36002634","0.00817006","8","1200","178","false","是:VERB","51.38239538239538","1022","156","false","21","是:VERB","158072583"
"1448813","4.82778489","4.5847E-4","0.20713433","0.01879491","9","162","160","false","就:ADV","76.61481481481482","2","12","false","0","就:ADV","2046522"
"1448815","4.27478507","5.779E-5","0.23392989","0.04","9","30","8","false","带:VERB","197.5","22","3","false","0","带:VERB","271954"
"1448816","4.86939821","1.63E-5","0.20536419","0.09090909","10","16","9","false","学校:NOUN","360.45454545454544","7","3","false","0","学校:NOUN","59895"
"1448819","4.99245473","7.9763E-4","0.20030227","0.02059925","10","124","105","false","我们:PRON","77.52222222222223","19","21","false","0","我们:PRON","2782416"
"1448821","0.0","0.0","0.0","0.0","0","1","1","false","留学生:NOUN","90.0","0","0","false","0","留学生:NOUN","0"
"1448823","3.31283153","0.00441475","0.30185658","0.01454048","8","382","69","false","去:VERB","68.75536480686695","313","56","false","3","去:VERB","18518349"
"1448825","5.8077099","1.5295E-4","0.17218491","0.05555556","10","17","14","false","旅行:VERB","90.4","3","2","false","0","旅行:VERB","924907"
"1448827","4.65831352","1.3E-7","0.21466997","0.16666667","9","4","1","false","过境处:NOUN","242.25","3","0","false","0","过境处:NOUN","994"
"1448828","3.66252058","0.0027216","0.27303601","0.02875175","8","114","62","false","地方:NOUN","136.56989247311827","52","14","false","0","地方:NOUN","13289684"
"1448830","4.89802451","0.00424821","0.20416394","0.00314456","9","967","954","false","是:AUX","31.238546603475513","13","121","false","0","是:AUX","23248137"
"1448833","1.0","0.0","1.0","0.0","1","3","2","false","朝鲜:PROPN","262.3333333333333","1","0","false","0","朝鲜:PROPN","10"
"1448834","0.0","0.0","0.0","0.00385885","0","797","797","false","和:CCONJ","35.688988095238095","0","80","false","0","和:CCONJ","0"
"1448838","0.0","0.0","0.0","0.03333333","0","16","16","false","虽然:SCONJ","123.2","0","1","false","0","虽然:SCONJ","0"
"1448841","3.95175599","9.0628E-4","0.25305206","0.04091175","9","81","31","false","朋友:NOUN","168.66101694915255","50","9","false","0","朋友:NOUN","3887626"
"1448846","1.44444444","2.69E-6","0.69230769","0.01915323","3","44","33","false","想:AUX","55.1875","11","5","false","0","想:AUX","11633"
"1448847","1.25","9.85E-6","0.8","0.01244592","2","304","279","false","不:ADV","59.74742268041237","25","41","false","0","不:ADV","27454"
"1448850","4.25669867","0.0","0.23492384","0.08333333","9","4","0","false","机不可失:NOUN","114.75","4","0","false","0","机不可失:NOUN","0"
"1448852","0.0","0.0","0.0","0.01635387","0","229","229","false","但:ADV","66.47093023255815","0","21","false","0","但:ADV","0"
"1448854","0.0","0.0","0.0","0.0","0","1","1","false","时不再来:NOUN","4.0","0","0","false","0","时不再来:NOUN","0"
"1448856","3.60444485","1.1272E-4","0.27743523","0.06916996","8","30","6","false","告诉:VERB","146.7826086956522","24","4","false","0","告诉:VERB","486403"
"1448858","0.0","0.0","0.0","0.16666667","0","19","19","false","给:ADP","93.0","0","2","false","0","给:ADP","0"
