"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"2304921","2.79855332","0.02827993","0.35732748","0.01980431","9","936","145","false","komme:VERB","76.96378269617706","791","112","false","2","komme:VERB","45180643"
"2304922","4.01571129","7.8826E-4","0.24902189","0.0304736","10","227","218","false","hvor:ADV","97.37888198757764","9","30","false","0","hvor:ADV","1498874"
"2304924","0.0","0.0","0.0","0.0","0","1","1","false","julemand:NOUN","497.0","0","0","false","0","julemand:NOUN","0"
"2304926","3.60332893","0.01535976","0.27752115","0.00656481","10","430","400","false","fra:ADP","48.709859154929575","30","51","false","0","fra:ADP","21903441"
"2304928","3.22711363","0.00190206","0.30987443","0.06932464","9","147","25","false","leve:VERB","191.94897959183675","122","20","false","0","leve:VERB","3024645"
"2304929","4.20090223","1.6591E-4","0.2380441","0.02513228","10","34","14","false","flertal:NOUN","136.78571428571428","20","2","false","0","flertal:NOUN","423407"
"2304931","4.46270514","1.507E-5","0.22407933","0.10215054","10","43","42","false","stadig:ADV","162.67741935483872","1","5","false","0","stadig:ADV","32519"
"2304933","4.75359726","7.64E-6","0.210367","0.0","11","4","1","false","plastikstykke:NOUN","50.25","3","0","false","0","plastikstykke:NOUN","12834"
"2304934","4.10710119","0.00164053","0.24348073","0.00782473","10","82","79","false","under:ADP","47.375","3","5","false","0","under:ADP","2203619"
"2304937","4.05677841","7.102E-5","0.24650102","0.03333333","10","10","3","false","tæppe:NOUN","331.1","7","0","false","0","tæppe:NOUN","112183"
"2304938","6.31088123","0.00346914","0.15845648","0.01227167","12","205","203","false","eller:CCONJ","64.05586592178771","2","22","false","0","eller:CCONJ","3999517"
"2304941","3.8317648","2.459E-4","0.26097635","0.04285714","10","21","5","false","spænde:VERB","178.71428571428572","16","0","false","0","spænde:VERB","539480"
"2304942","5.29734775","4.288E-5","0.18877371","0.02429226","11","263","262","false","som:PRON","87.27374301675978","1","45","false","0","som:PRON","61296"
"2304944","3.32247025","0.01399325","0.30098087","0.02843875","9","573","478","false","de:PRON","97.92281879194631","95","86","false","1","de:PRON","24676665"
"2304946","3.8248425","0.00382156","0.26144867","0.01587668","10","921","867","false","have:AUX","62.62997658079625","54","127","false","0","have:AUX","6829775"
"2304949","3.13393482","0.01096815","0.31908768","0.0260274","9","356","194","false","ud:ADV","86.21363636363637","162","48","false","1","ud:ADV","18934207"
"2304951","5.19413549","6.7E-7","0.19252482","0.07142857","11","8","3","false","stok:NOUN","369.0","5","0","false","0","stok:NOUN","2275"
"2304952","4.80244225","0.00149523","0.20822739","0.01865848","10","176","168","false","over:ADP","76.14383561643835","8","15","false","0","over:ADP","2149565"
"2304954","0.0","0.0","0.0","0.0052417","0","133","133","false","nogen:DET","35.34313725490196","0","16","false","0","nogen:DET","0"
"2304957","4.12779031","5.664E-5","0.24226037","0.09926471","10","19","6","false","telt:NOUN","377.3529411764706","13","2","false","0","telt:NOUN","116816"
"2304958","4.29758108","0.00754743","0.23268904","0.01139883","10","532","530","false","som:ADP","59.36708860759494","2","54","false","0","som:ADP","11423895"
"2304960","4.84677608","0.01122121","0.20632272","6.7279E-4","11","2184","2180","false","en:DET","14.197494473102433","4","322","false","0","en:DET","19288494"
"2304962","0.0","0.0","0.0","0.0","0","1","1","false","improvisere:VERB","17.0","0","0","false","0","improvisere:VERB","0"
"2304965","1.5","1.029E-5","0.66666667","0.0","2","2","1","false","oplæg:NOUN","60.5","1","0","false","0","oplæg:NOUN","22664"
"2304966","1.0","5.019E-5","1.0","0.0","1","3","2","false","Keld:PROPN","5.666666666666667","1","0","false","0","Keld:PROPN","89968"
"2304968","3.24095823","0.00305225","0.30855072","0.03215993","9","144","29","false","følge:VERB","127.5","115","13","false","0","følge:VERB","5206631"
"2304970","0.0","0.0","0.0","0.00751625","0","450","450","false","blive:AUX","43.507552870090635","0","68","false","0","blive:AUX","0"
"2304972","4.23487323","2.2E-7","0.23613458","0.0","10","3","1","false","pointere:VERB","49.0","2","0","false","0","pointere:VERB","349"
