"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1208831","2.77058548","0.02539232","0.36093454","0.01985088","7","930","317","false","איש:NOUN","89.76775431861805","613","134","false","2","איש:NOUN","32025910"
"1208832","4.01761124","1.3292E-4","0.24890412","0.04473684","8","32","28","false","עשרות:NUM","114.9","4","4","false","0","עשרות:NUM","161448"
"1208834","2.78501171","0.01591951","0.35906492","0.02577289","7","588","101","false","הגיע:VERB","99.43442622950819","487","83","false","2","הגיע:VERB","22098530"
"1208836","3.83775176","1.35E-6","0.26056922","0.13888889","8","13","7","false","תאילנד:PROPN","418.0","6","2","false","0","תאילנד:PROPN","2925"
"1208837","3.22192037","0.01246433","0.3103739","0.01196148","7","1883","1696","false","מ:ADP","65.28339140534263","187","295","false","0","מ:ADP","16836697"
"1208840","3.34098361","0.00260326","0.29931305","0.0400166","8","469","272","false","ישראל:PROPN","136.16363636363636","197","46","false","0","ישראל:PROPN","3491424"
"1208841","2.99175644","0.04769711","0.33425181","0.0069736","7","4673","4425","false","ל:ADP","48.769866497139226","248","719","false","1","ל:ADP","59332575"
"1208844","3.28777518","2.1576E-4","0.30415705","0.07597403","8","74","13","false","נרשם:VERB","220.21428571428572","61","9","false","0","נרשם:VERB","399585"
"1208845","3.81302108","2.8255E-4","0.26225924","0.05236034","8","117","111","false","כש:SCONJ","169.63636363636363","6","9","false","0","כש:SCONJ","367105"
"1208847","2.73798595","0.10106193","0.36523197","0.006391","7","10409","5589","false","הוא:PRON","45.1010387157696","4820","999","false","6","הוא:PRON","113384548"
"1208850","3.71953162","1.1816E-4","0.26885106","0.05238095","8","29","13","false","מתנדב:NOUN","257.4761904761905","16","4","false","0","מתנדב:NOUN","83828"
"1208851","3.20655738","0.00574146","0.31186094","0.02502939","7","621","571","false","כ:ADP","103.015625","50","81","false","0","כ:ADP","8681076"
"1208854","3.09039813","0.00170177","0.3235829","0.03567868","7","152","33","false","שימש:VERB","132.05882352941177","119","14","false","0","שימש:VERB","2710047"
"1208855","3.94444965","7.2986E-4","0.25352079","0.04109589","8","183","174","false","אך:CCONJ","134.76712328767124","9","20","false","0","אך:CCONJ","962670"
"1208857","3.69086651","4.3E-5","0.27093909","0.02495544","8","37","32","false","למעשה:ADV","87.23529411764706","5","3","false","0","למעשה:ADV","74464"
"1208860","3.13517564","0.00201952","0.3189614","0.04757482","7","340","116","false","עובד:NOUN","161.71929824561403","224","46","false","2","עובד:NOUN","3691551"
"1208862","0.0","0.0","0.0","0.0","0","1","1","false","שכיר:ADJ","171.0","0","0","false","0","שכיר:ADJ","0"
"1208864","3.53236534","4.102E-5","0.28309643","0.08225108","7","30","12","false","זול:ADJ","273.22727272727275","18","3","false","0","זול:ADJ","72821"
"1208866","3.08683841","4.5049E-4","0.32395606","0.07323944","7","89","14","false","התברר:VERB","180.7887323943662","75","9","false","0","התברר:VERB","610884"
"1208867","3.2981733","4.2966E-4","0.30319814","0.06795346","8","78","22","false","תופעה:NOUN","283.43548387096774","56","10","false","0","תופעה:NOUN","635998"
"1208869","3.24065574","0.00301345","0.30857952","0.03251682","7","341","240","false","זו:PRON","130.6577540106952","101","52","false","4","זו:PRON","4029248"
"1208871","3.72599532","2.5714E-4","0.26838466","0.03813291","8","126","112","false","אתמול:ADV","118.2625","14","24","false","0","אתמול:ADV","428739"
"1208873","3.12384075","9.468E-4","0.32011875","0.06368159","7","327","109","false","ועדה:NOUN","201.63703703703703","218","51","false","1","ועדה:NOUN","1894569"
"1208874","2.88421546","0.08890035","0.34671474","0.0045722","7","8536","7920","false","ב:ADP","39.4410480349345","616","1020","false","3","ב:ADP","96987781"
"1208877","3.08814988","0.00237137","0.32381848","0.05609277","7","369","143","false","עבודה:NOUN","178.50625","226","35","false","1","עבודה:NOUN","4251553"
"1208878","2.77648712","0.19950689","0.36016735","0.00254529","7","16869","16479","false","ה:DET","28.185876860227605","390","1889","false","24","ה:DET","206621624"
"1208881","3.49770492","2.9E-7","0.28590176","0.52380952","7","46","15","false","רווחה:NOUN","1362.4285714285713","31","3","false","0","רווחה:NOUN","608"
"1208882","2.98042155","0.07916757","0.33552301","0.00534679","7","4216","4061","false","ו:CCONJ","41.764970733903645","155","724","false","18","ו:CCONJ","92476293"
"1208886","3.38997658","2.6231E-4","0.29498729","0.11111111","7","147","59","false","כנסת:PROPN","331.02222222222224","88","13","false","0","כנסת:PROPN","448152"
"1208887","3.26014052","0.02198728","0.30673525","0.00796929","7","4900","4828","false","של:ADP","52.90009165902841","72","365","false","0","של:ADP","26737244"
