"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"72","2.0","9.0E-8","0.5","0.0","3","3","1","false","काल:PROPN","832.3333333333334","2","0","false","0","काल:PROPN","443"
"73","1.4","6.0E-8","0.71428571","0.08333333","2","11","6","false","रामायण:PROPN","556.5555555555555","5","1","false","0","रामायण:PROPN","53"
"75","2.71617729","6.3821E-4","0.36816448","0.08730159","6","223","38","false","चुन:VERB","321.968253968254","185","29","false","0","चुन:VERB","2495557"
"77","0.0","0.0","0.0","0.00452742","0","10545","10545","false","में:ADP","45.37933954276037","0","1094","false","0","में:ADP","0"
"79","3.28648199","7.2139E-4","0.30427673","0.08853411","6","82","45","false","राम:PROPN","458.3207547169811","37","13","false","0","राम:PROPN","2057504"
"80","3.91368421","5.3054E-4","0.25551372","0.0625","7","44","37","false","भगवान:NOUN","297.6875","7","9","false","0","भगवान:NOUN","575038"
"82","3.27966759","8.735E-4","0.30490895","0.07277526","7","70","26","false","पुत्र:NOUN","405.84615384615387","44","12","false","0","पुत्र:NOUN","3345158"
"84","0.0","0.0","0.0","0.00223563","0","20916","20916","false","का:ADP","32.83534946236559","0","2223","false","0","का:ADP","0"
"86","4.27944598","9.9E-7","0.23367511","0.33333333","8","3","1","false","कुश:PROPN","1538.3333333333333","2","0","false","0","कुश:PROPN","8197"
"88","3.45357341","0.00143515","0.28955516","0.10224696","7","185","91","false","राजधानी:NOUN","391.4040404040404","94","23","false","0","राजधानी:NOUN","8522602"
"91","4.4532964","1.0E-8","0.22455276","0.33333333","8","3","1","false","कुशावती:PROPN","763.3333333333334","2","0","false","0","कुशावती:PROPN","34"
"94","0.0","0.0","0.0","0.0060406","0","7460","7460","false","को:ADP","53.02324455205811","0","924","false","0","को:ADP","0"
"96","4.49850416","3.0667E-4","0.22229612","0.12252964","8","36","18","false","पूर्व:PROPN","581.8695652173913","18","6","false","0","पूर्व:PROPN","1562581"
"97","0.0","0.0","0.0","0.0","0","1","1","false","483:PROPN","23.0","0","0","false","0","483:PROPN","0"
"99","0.0","0.0","0.0","0.0","0","1","1","false","ईसा:PROPN","23.0","0","0","false","0","ईसा:PROPN","0"
"102","3.47207756","2.3015E-4","0.288012","0.08441558","7","48","19","false","बुद्ध:PROPN","533.6363636363636","29","7","false","0","बुद्ध:PROPN","702021"
"104","0.0","0.0","0.0","0.00309405","0","6073","6073","false","ने:ADP","35.276428571428575","0","664","false","0","ने:ADP","0"
"106","3.89240997","4.04E-6","0.25691025","0.19047619","7","7","3","false","विश्राम:NOUN","564.1428571428571","4","0","false","0","विश्राम:NOUN","15940"
"107","2.8934072","0.01071523","0.3456133","0.01840055","6","1317","1224","false","अपना:PRON","97.11683848797252","93","210","false","8","अपना:PRON","25400168"
"109","5.05795014","5.847E-5","0.19770855","0.03368177","8","98","96","false","अंतिम:ADJ","131.42857142857142","2","15","false","0","अंतिम:ADJ","217803"
"112","1.0","9.848E-5","1.0","0.00549754","1","7592","7578","false","के:ADP","50.35717344753747","14","961","false","0","के:ADP","125708"
"114","0.0","0.0","0.0","0.02019164","0","2220","2220","false","लिए:ADP","94.00554016620498","0","297","false","0","लिए:ADP","0"
"116","1.0","0.0","1.0","0.5","1","2","1","false","मल्ला:NOUN","2281.5","1","0","false","0","मल्ला:NOUN","0"
"119","2.10293629","0.09061551","0.47552558","0.00593161","5","15944","2227","false","हो:VERB","52.83979057591623","13717","1324","false","144","हो:VERB","253655699"
