"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"4530726","5.15395082","0.0","0.19402591","0.0","17","4","0","false","mendesain:VERB","14.5","4","0","false","0","mendesain:VERB","0"
"4530727","6.16051903","1.0E-8","0.16232399","0.0","19","2","1","false","ahli:PROPN","5.0","1","0","false","0","ahli:PROPN","6"
"4530729","5.16076983","6.038E-5","0.19376954","0.06666667","18","8","4","false","rekayasa:NOUN","369.5","4","1","false","0","rekayasa:NOUN","151817"
"4530731","0.0","0.0","0.0","0.0","0","2","2","false","optik:NOUN","9.5","0","0","false","0","optik:NOUN","0"
"4530733","4.21563958","5.5558E-4","0.23721193","0.03528226","17","34","10","false","komponen:NOUN","141.59375","24","2","false","0","komponen:NOUN","1622151"
"4530735","5.09078538","9.452E-5","0.19643334","0.04545455","16","11","3","false","instrumen:NOUN","354.09090909090907","8","0","false","0","instrumen:NOUN","239205"
"4530736","5.04160187","0.01046817","0.19834966","0.00353703","15","1170","1164","false","dari:ADP","34.828502415458935","6","162","false","0","dari:ADP","31389568"
"4530739","0.0","0.0","0.0","0.0","0","1","1","false","optik:ADJ","11.0","0","0","false","0","optik:ADJ","0"
"4530741","4.9693818","1.7429E-4","0.20123227","0.00641026","18","13","3","false","lensa:NOUN","91.76923076923077","10","0","false","0","lensa:NOUN","530986"
"4530742","4.46695179","0.00563801","0.22386631","0.00366064","17","229","212","false","seperti:ADP","33.092592592592595","17","12","false","0","seperti:ADP","19320472"
"4530745","0.0","0.0","0.0","0.0","0","1","1","false","mikroskop:NOUN","13.0","0","0","false","0","mikroskop:NOUN","0"
"4530747","4.87631221","7.943E-5","0.20507301","0.0","18","4","2","false","teleskop:NOUN","79.75","2","0","false","0","teleskop:NOUN","201832"
"4530749","4.562014","8.695E-5","0.21920143","0.05238095","17","15","6","false","peralatan:NOUN","220.13333333333333","9","0","false","0","peralatan:NOUN","239194"
"4530750","4.24392496","0.06724909","0.23563093","0.00200874","17","2804","2776","false","dan:CCONJ","25.370334464372274","28","382","false","0","dan:CCONJ","182123718"
