"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1230047","1.91645102","0.14181267","0.52179784","0.00713902","8","10537","1861","false","کرد#کن:VERB","42.05410199556541","8676","1113","false","189","کرد#کن:VERB","79533598"
"1230048","2.70314233","8.1947E-4","0.36993982","0.13869464","9","136","54","false","رئیس:NOUN","275.0","82","25","false","1","رئیس:NOUN","622421"
"1230050","3.22711029","4.1341E-4","0.30987475","0.06410256","10","65","29","false","انجمن:NOUN","157.40384615384616","36","6","false","0","انجمن:NOUN","477864"
"1230052","3.26296981","5.169E-5","0.30646928","0.1043956","10","20","9","false","جراح:NOUN","214.42857142857142","11","2","false","0","جراح:NOUN","65356"
"1230054","3.03955638","1.9746E-4","0.32899538","0.16774194","10","49","28","false","قلب:NOUN","348.64516129032256","21","11","false","0","قلب:NOUN","138648"
"1230056","2.63696858","0.00521689","0.37922333","0.05075155","9","627","411","false","ایران:NOUN","134.48659003831418","216","84","false","0","ایران:NOUN","4319565"
"1230058","2.7271719","1.935E-4","0.36668022","0.19628339","9","117","64","false","تأکید:NOUN","353.4047619047619","53","10","false","0","تأکید:NOUN","205951"
"1230060","2.77091805","4.0563E-4","0.36089122","0.16817907","9","91","35","false","امکان:NOUN","329.12068965517244","56","13","false","0","امکان:NOUN","361268"
"1230061","0.0","0.0","0.0","0.02727273","0","11","11","false","کلیه:DET","57.90909090909091","0","0","false","0","کلیه:DET","0"
"1230063","2.11916205","0.05456528","0.47188463","0.01537723","9","4196","797","false","داشت#دار:VERB","62.043921568627454","3399","528","false","41","داشت#دار:VERB","39967803"
"1230065","4.23253235","8.879E-5","0.23626518","0.04761905","11","7","6","false","پیشرفته:ADJ","143.14285714285714","1","0","false","0","پیشرفته:ADJ","72140"
"1230067","0.0","0.0","0.0","0.0","0","1","1","false","تکنولوژیکی:ADJ","58.0","0","0","false","0","تکنولوژیکی:ADJ","0"
