"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"2734311","2.9179826","0.02065478","0.34270252","0.01930971","7","733","56","false","povedať:VERB","61.84393063583815","677","102","false","0","povedať:VERB","29758501"
"2734312","4.2251853","9.22E-5","0.23667601","0.14545455","9","11","3","false","poslúchnuť:VERB","338.27272727272725","8","0","false","0","poslúchnuť:VERB","140441"
"2734314","0.0","0.0","0.0","0.0","0","2","2","false","rozkaz:NOUN","17.0","0","0","false","0","rozkaz:NOUN","0"
"2734316","5.08209797","2.77E-6","0.19676913","0.1","10","15","3","false","ľahnúť:VERB","349.0","12","1","false","0","ľahnúť:VERB","3181"
"2734318","0.0","0.0","0.0","0.00516717","0","356","356","false","si:PRON","34.283687943262414","0","49","false","0","si:PRON","0"
"2734320","4.86988398","3.5244E-4","0.2053437","0.02373737","9","75","39","false","zem:NOUN","125.24444444444444","36","8","false","0","zem:NOUN","449407"
"2734321","5.34974218","0.02261901","0.1869249","0.00219518","10","1680","1660","false","na:ADP","27.278980891719744","20","257","false","0","na:ADP","29285911"
"2734324","5.99726072","4.0E-8","0.16674279","0.0","11","3","1","false","odpáliť:VERB","561.6666666666666","2","0","false","0","odpáliť:VERB","19"
"2734325","0.0","0.0","0.0","0.00224039","0","2426","2426","false","a:CCONJ","23.19412822049131","0","365","false","0","a:CCONJ","0"
"2734328","4.99790525","1.0288E-4","0.20008382","0.05","10","6","3","false","granát:NOUN","24.6","3","1","false","0","granát:NOUN","120442"
"2734330","7.31243957","1.9E-7","0.13675327","0.0","12","2","1","false","hovorkyňa:NOUN","181.0","1","0","false","0","hovorkyňa:NOUN","625"
"2734332","6.31292298","1.0751E-4","0.15840523","0.0125","11","18","12","false","polícia:NOUN","114.25","6","2","false","0","polícia:NOUN","141355"
"2734333","1.75","3.324E-5","0.57142857","0.00909091","2","11","10","false","miestny:ADJ","19.545454545454547","1","0","false","0","miestny:ADJ","42563"
"2734336","4.52118917","5.4441E-4","0.22118075","0.02489331","9","46","17","false","krok:NOUN","89.92105263157895","29","6","false","0","krok:NOUN","892909"
"2734337","4.67636159","0.00362034","0.21384146","0.01719902","9","121","102","false","ďalší:ADJ","84.12612612612612","19","9","false","0","ďalší:ADJ","4705662"
"2734339","5.48554168","3.8E-7","0.1822974","0.0","10","6","2","false","poviesť:VERB","40.5","4","0","false","0","poviesť:VERB","311"
"2734341","1.0","3.849E-5","1.0","0.0","1","2","1","false","sudkyňa:NOUN","19.5","1","0","false","0","sudkyňa:NOUN","88876"
"2734342","0.0","0.0","0.0","0.0","0","1","1","false","švajčiarský:ADJ","2.0","0","0","false","0","švajčiarský:ADJ","0"
"2734345","1.0","1.0E-8","1.0","0.0","1","4","2","false","belehrad:PROPN","154.66666666666666","2","1","false","0","belehrad:PROPN","9"
"2734346","0.0","0.0","0.0","0.00257679","0","650","650","false","do:ADP","27.762402088772845","0","121","false","0","do:ADP","0"
"2734349","4.45436236","1.16E-6","0.22449902","0.00909091","9","12","2","false","previesť:VERB","109.18181818181819","10","1","false","0","previesť:VERB","1632"
"2734350","3.77135031","1.9915E-4","0.26515702","0.075","8","18","8","false","spor:NOUN","188.5","10","1","false","0","spor:NOUN","286555"
"2734352","5.38559459","5.007E-5","0.18568052","0.02380952","10","7","2","false","tribunál:NOUN","49.57142857142857","5","0","false","0","tribunál:NOUN","58283"
"2734353","0.0","0.0","0.0","0.0034474","0","108","108","false","medzi:ADP","47.752808988764045","0","9","false","0","medzi:ADP","0"
"2734356","4.38954238","0.00351118","0.22781418","0.01146406","9","265","175","false","vláda:NOUN","62.17610062893082","90","41","false","0","vláda:NOUN","4251142"
"2734358","0.0","0.0","0.0","0.0","0","1","1","false","záhrebský:ADJ","159.0","0","0","false","0","záhrebský:ADJ","0"
